code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
ignition_type;"Ignition Type";;;;;;;;;specs;0;;;;;;;;;0;100;pim_catalog_text;0;1;;;
lava_rock_fireglass_included;"Lava Rock/Fireglass Included? (Y/N)";;;;;;;;;specs;0;;;;;;;;;0;101;pim_catalog_boolean;0;1;;;
certification;Certification;;;;;;;;;specs;0;;;;;;;;;0;103;pim_catalog_text;0;1;;;
construction;Construction;;;;;;;;;specs;0;;;;;;;;;0;105;pim_catalog_simpleselect;0;1;;;
reversible;"Reversible? (Y/N)";;;;;;;;;specs;0;;;;;;;;;0;106;pim_catalog_boolean;0;1;;;
product_video_url;"Product Video Url";;;;;;;;;media;0;;;;;;;;;0;0;pim_catalog_text;0;1;;;
resolution;Resolution;;;;;;;;;specs;0;;;;;;;;;0;113;pim_catalog_text;0;1;;;
aspect_ratio;"Aspect Ratio";;;;;;;;;specs;0;;;;;;;;;0;114;pim_catalog_text;0;1;;;
contrast_ratio;"Contrast Ratio";;;;;;;;;specs;0;;;;;;;;;0;115;pim_catalog_text;0;1;;;
frame_rate;"Frame Rate";;;;;;;;;specs;0;;;;;;;;;0;116;pim_catalog_text;0;1;;;
viewing_angle;"Viewing Angle";;;;;;;;;specs;0;;;;;;;;;0;117;pim_catalog_text;0;1;;;
formats;Formats;;;;;;;;;specs;0;;;;;;;;;0;118;pim_catalog_text;0;1;;;
rf;RF;;;;;;;;;specs;0;;;;;;;;;0;119;pim_catalog_text;0;1;;;
hdbaset_connections;"HDBaseT Connections";;;;;;;;;specs;0;;;;;;;;;0;120;pim_catalog_text;0;1;;;
hdmi;HDMI;;;;;;;;;specs;0;;;;;;;;;0;121;pim_catalog_text;0;1;;;
video_component;"Video Component";;;;;;;;;specs;0;;;;;;;;;0;122;pim_catalog_text;0;1;;;
rgb_input;"RGB Input";;;;;;;;;specs;0;;;;;;;;;0;123;pim_catalog_text;0;1;;;
control_set;"Control Set";;;;;;;;;specs;0;;;;;;;;;0;124;pim_catalog_text;0;1;;;
audio_output_connectors;"Audio Output Connectors";;;;;;;;;specs;0;;;;;;;;;0;125;pim_catalog_text;0;1;;;
speakers;Speakers;;;;;;;;;specs;0;;;;;;;;;0;126;pim_catalog_text;0;1;;;
power_consumption;"Power Consumption";;;;;;;;;specs;0;;;;;;;;;0;127;pim_catalog_text;0;1;;;
operating_temp;"Operating Temp";;;;;;;;;specs;0;;;;;;;;;0;128;pim_catalog_text;0;1;;;
accesories_included;"Accesories Included";;;;;;;;;specs;0;;;;;;;;;0;130;pim_catalog_text;0;1;;;
